LOCATION,SUBJECT,TIME,Value
GRC,BUPPSRY,2014,46.932018
GRC,BUPPSRY,2015,48.528072
GRC,BUPPSRY,2016,48.495949
GRC,BUPPSRY,2017,49.611893
GRC,BUPPSRY,2018,50.366364
GRC,BUPPSRY,2019,52.4118
GRC,BUPPSRY,2020,51.754078
GRC,BUPPSRY,2021,53.157799
GBR,BUPPSRY,1997,64.703384
GBR,BUPPSRY,1998,64.551895
GBR,BUPPSRY,1999,64.977608
GBR,BUPPSRY,2000,65.323746
GBR,BUPPSRY,2001,65.527481
GBR,BUPPSRY,2002,65.281273
GBR,BUPPSRY,2003,65.990303
GBR,BUPPSRY,2004,65.448097
GBR,BUPPSRY,2005,65.487144
GBR,BUPPSRY,2006,63.080437
GBR,BUPPSRY,2007,63.27948
GBR,BUPPSRY,2008,59.271851
GBR,BUPPSRY,2009,56.909519
GBR,BUPPSRY,2010,56.107616
GBR,BUPPSRY,2011,55.940659
GBR,BUPPSRY,2012,56.772728
GBR,BUPPSRY,2013,57.407883
GBR,BUPPSRY,2014,60.05061
GBR,BUPPSRY,2015,60.144756
GBR,BUPPSRY,2016,61.296593
GBR,BUPPSRY,2017,62.649063
GBR,BUPPSRY,2018,65.719254
GBR,BUPPSRY,2019,65.395134
GBR,BUPPSRY,2020,64.468765
GBR,BUPPSRY,2021,63.93383
KOR,TRY,1995,80.211517
KOR,TRY,1997,80.223633
KOR,TRY,1998,76.068214
KOR,TRY,1999,74.649818
KOR,TRY,2000,75.420128
KOR,TRY,2001,75.692368
KOR,TRY,2002,76.117149
KOR,TRY,2003,76.372177
KOR,TRY,2004,76.725571
KOR,TRY,2005,76.800529
KOR,TRY,2006,77.29113
KOR,TRY,2007,77.211655
KOR,TRY,2008,77.100822
KOR,TRY,2009,76.208008
KOR,TRY,2010,76.321976
KOR,TRY,2011,76.831879
KOR,TRY,2012,77.135872
KOR,TRY,2013,77.406151
KOR,TRY,2014,77.528145
KOR,TRY,2015,77.475151
KOR,TRY,2016,77.355438
KOR,TRY,2017,77.380608
KOR,TRY,2018,77.591324
KOR,TRY,2019,77.666336
KOR,TRY,2020,76.97361
KOR,TRY,2021,77.468056
ESP,UPPSRY_NTRY,1981,71.945587
ESP,UPPSRY_NTRY,1989,71.098763
ESP,UPPSRY_NTRY,1991,72.446632
ESP,UPPSRY_NTRY,1992,68.895737
ESP,UPPSRY_NTRY,1994,64.75489
ESP,UPPSRY_NTRY,1995,65.146049
ESP,UPPSRY_NTRY,1997,66.789864
ESP,UPPSRY_NTRY,1998,67.611267
ESP,UPPSRY_NTRY,1999,69.911438
ESP,UPPSRY_NTRY,2000,71.992584
ESP,UPPSRY_NTRY,2001,71.655319
ESP,UPPSRY_NTRY,2002,71.902039
ESP,UPPSRY_NTRY,2003,72.617111
ESP,UPPSRY_NTRY,2004,73.381233
ESP,UPPSRY_NTRY,2005,75.070641
ESP,UPPSRY_NTRY,2006,76.308411
ESP,UPPSRY_NTRY,2007,76.553085
ESP,UPPSRY_NTRY,2008,75.456436
ESP,UPPSRY_NTRY,2009,71.020126
ESP,UPPSRY_NTRY,2010,69.325081
ESP,UPPSRY_NTRY,2011,67.89875
ESP,UPPSRY_NTRY,2012,66.336761
ESP,UPPSRY_NTRY,2013,64.481842
ESP,UPPSRY_NTRY,2014,65.893608
ESP,UPPSRY_NTRY,2015,67.698692
ESP,UPPSRY_NTRY,2016,69.235588
ESP,UPPSRY_NTRY,2017,70.187393
ESP,UPPSRY_NTRY,2018,70.932465
ESP,UPPSRY_NTRY,2019,71.923203
ESP,UPPSRY_NTRY,2020,68.895836
ESP,UPPSRY_NTRY,2021,70.651619
SVK,TRY,1997,89.756271
SVK,TRY,1998,88.646912
SVK,TRY,1999,87.01767
SVK,TRY,2000,85.576256
SVK,TRY,2001,86.673119
SVK,TRY,2002,86.597939
SVK,TRY,2003,87.093895
SVK,TRY,2004,83.581184
SVK,TRY,2005,84.022018
SVK,TRY,2006,84.860603
SVK,TRY,2007,84.211525
SVK,TRY,2008,85.533531
SVK,TRY,2009,83.17614
SVK,TRY,2010,82.237434
SVK,TRY,2011,81.513947
SVK,TRY,2012,80.120392
SVK,TRY,2013,79.461082
SVK,TRY,2014,79.975822
SVK,TRY,2015,80.276695
SVK,TRY,2016,81.287842
SVK,TRY,2017,82.043846
